Filter,Mem (bytes),FP Rate,FN Rate,Avg Time (s),Throughput (q/s),F1
Standard,26408,0.08733624454148471,,2.5663833951325396e-06,389653.3939148073,
Counting,26408,0.08733624454148471,,2.7017301867622474e-06,370133.18535645475,
NeuralNet,8704,0.043668122270742356,0.1924198250728863,8.61874487375762e-05,11602.617488363103,0.8724409448818898
LightGBM,56,0.0,0.0014577259475218659,0.0006280698456965506,1592.179606857206,0.99927060539752
SGDLogistic,56,0.048034934497816595,0.15306122448979592,7.472461661570631e-05,13382.47080132641,0.893846153846154
SVM,56,0.046579330422125184,0.20408163265306123,0.0001345357520090961,7432.96844940064,0.8639240506329114
RandomForest,31352,0.046579330422125184,0.26239067055393583,0.0031231265227694006,320.19195915036454,0.8267973856209151
Sandwich-NeuralNet,27192,0.05967976710334789,,8.433458586447104e-05,11857.531400071603,
Sandwich-LightGBM,18544,0.0,,0.0005344147244915692,1871.2059271034848,
Sandwich-SGDLogistic,18544,0.055312954876273655,,7.348289656326761e-05,13608.608897704733,
Sandwich-SVM,18544,0.05967976710334789,,0.00013674953965988048,7312.638876058897,
Sandwich-RandomForest,49840,0.07278020378457059,,0.003207328885229741,311.785923983399,
