Filter,Mem (bytes),FP Rate,FN Rate,Avg Time (s),Throughput (q/s),F1
Standard,1533720,0.1015,,5.098890066146851e-05,19612.111401250193,
Counting,1533720,0.1015,,5.146242380142212e-05,19431.653741353042,
NeuralNet,8704,0.158275,0.12925,0.00016138687133789064,6196.290886055604,0.8582940082059117
LightGBM,56,0.009825,0.03065,0.0007690236330032349,1300.3501545131235,0.9795495597913272
SGDLogistic,56,0.208175,0.2739,0.0002090478777885437,4783.593168123529,0.7507722531697922
SVM,56,0.53005,0.259375,0.0004322776913642883,2313.327798258462,0.6523390621731423
RandomForest,1004408,0.072175,0.08405,0.0038120814502239225,262.32388081352764,0.9214209368123233
Sandwich-NeuralNet,1080760,0.163075,,0.00018508194088935853,5403.0122830719465,
Sandwich-LightGBM,1072112,0.009975,,0.0006068765997886658,1647.7814441160403,
Sandwich-SGDLogistic,1072112,0.226725,,0.00020269277095794676,4933.575061774022,
Sandwich-SVM,1072112,0.5398,,0.000465811824798584,2146.789640714677,
Sandwich-RandomForest,2076464,0.074125,,0.003400191676616669,294.1010669713307,
