Filter,Mem (bytes),FP Rate,FN Rate,Avg Time (s),Throughput (q/s),F1
Standard,383512,0.0919,,1.6104602813720704e-05,62094.04923342946,
Counting,383512,0.0919,,1.4754486083984375e-05,67775.99669062516,
NeuralNet,8704,0.002,0.0006,0.00010006799697875976,9993.20492257138,0.9987009093634456
LightGBM,56,0.0,0.0,0.0005856666803359986,1707.455850871177,1.0
SGDLogistic,56,0.0301,0.0162,7.909610271453858e-05,12642.847949273119,0.9770097820149959
SVM,56,0.0306,0.002,0.00017472631931304933,5723.236224122279,0.9839298038055803
RandomForest,146552,0.0001,0.0,0.0032520947217941285,307.4941185748477,0.999950002499875
Sandwich-NeuralNet,276800,0.002,,8.660061359405518e-05,11547.262294093565,
Sandwich-LightGBM,268152,0.0,,0.0005470316171646119,1828.0479018438193,
Sandwich-SGDLogistic,268152,0.0303,,7.536368370056153e-05,13268.990459293978,
Sandwich-SVM,268152,0.0306,,0.00016733467578887939,5976.047673834602,
Sandwich-RandomForest,414648,0.0001,,0.0035490456104278565,281.7658913883174,
