Filter,Mem (bytes),FP Rate,FN Rate,Avg Time (s),Throughput (q/s),F1
Standard,31320,0.104,,2.9680728912353515e-06,336918.94931319787,
Counting,31320,0.104,,2.9082298278808595e-06,343851.77898016066,
NeuralNet,8704,0.0,1.0,8.446002006530761e-05,11839.921411654448,0.0
LightGBM,56,0.004,0.02457002457002457,0.0005783579349517823,1729.0330772125917,0.9851116625310173
SGDLogistic,56,0.364,0.28501228501228504,8.114290237426758e-05,12323.936792247707,0.6613636363636364
SVM,56,0.0,1.0,0.00019456195831298829,5139.750898227074,0.0
RandomForest,14456,0.051,0.5577395577395577,0.003343514919281006,299.08644768812377,0.5877551020408163
Sandwich-NeuralNet,30624,0.208,,9.359002113342286e-05,10684.899820402756,
Sandwich-LightGBM,21976,0.004,,0.000555250883102417,1800.987680402389,
Sandwich-SGDLogistic,21976,0.38,,8.58778953552246e-05,11644.440002443102,
Sandwich-SVM,21976,0.208,,0.00016913795471191408,5912.333525040315,
Sandwich-RandomForest,36376,0.126,,0.0036053497791290285,277.36559869693906,
