Filter,Mem (bytes),FP Rate,FN Rate,Avg Time (s),Throughput (q/s),F1
Standard,1708776,0.10115,,4.5796924829483035e-05,21835.527248244896,
Counting,1708776,0.10115,,4.579359889030456e-05,21837.113138791115,
NeuralNet,8704,0.300375,0.1981331059552125,0.00021914169788360595,4563.257516290378,0.7742019346382573
LightGBM,56,0.1903,0.2066597854866939,0.0007306589782238007,1368.6275400747902,0.8078232458244796
SGDLogistic,56,0.282775,0.2871247139074631,0.0002015703320503235,4961.047540222054,0.7249535066802058
SVM,56,0.1996,0.42678274918099,0.00025926330089569093,3857.082728427996,0.654220446629789
RandomForest,1051928,0.267675,0.2403401696360454,0.0036070432245731356,277.2353802658802,0.7596939233461988
Sandwich-NeuralNet,1203120,0.3096,,0.00022934547066688537,4360.234353406778,
Sandwich-LightGBM,1194472,0.2013,,0.0008848881185054779,1130.0863680811299,
Sandwich-SGDLogistic,1194472,0.3018,,0.0002087696969509125,4789.967196413221,
Sandwich-SVM,1194472,0.241575,,0.00028441208004951476,3516.0250571139763,
Sandwich-RandomForest,2246344,0.281725,,0.0034445283770561217,290.315506372647,
